Time,Number of Animals,Average sense radius, Average speed,Average reproduction threshold,Average passed energy
1,10,7000,1000,70000,30000
2,10,7000,1000,70000,30000
3,10,7000,1000,70000,30000
4,10,7000,1000,70000,30000
5,10,7000,1000,70000,30000
6,10,7000,1000,70000,30000
7,10,7000,1000,70000,30000
8,10,7000,1000,70000,30000
9,10,7000,1000,70000,30000
10,10,7000,1000,70000,30000
11,10,7000,1000,70000,30000
12,10,7000,1000,70000,30000
13,10,7000,1000,70000,30000
14,10,7000,1000,70000,30000
15,10,7000,1000,70000,30000
16,10,7000,1000,70000,30000
17,10,7000,1000,70000,30000
18,10,7000,1000,70000,30000
19,10,7000,1000,70000,30000
20,10,7000,1000,70000,30000
21,10,7000,1000,70000,30000
22,10,7000,1000,70000,30000
23,10,7000,1000,70000,30000
24,10,7000,1000,70000,30000
25,10,7000,1000,70000,30000
26,10,7000,1000,70000,30000
27,10,7000,1000,70000,30000
28,10,7000,1000,70000,30000
29,10,7000,1000,70000,30000
30,10,7000,1000,70000,30000
31,10,7000,1000,70000,30000
32,10,7000,1000,70000,30000
33,10,7000,1000,70000,30000
34,10,7000,1000,70000,30000
35,10,7000,1000,70000,30000
36,10,7000,1000,70000,30000
37,10,7000,1000,70000,30000
38,10,7000,1000,70000,30000
39,10,7000,1000,70000,30000
40,10,7000,1000,70000,30000
41,10,7000,1000,70000,30000
42,10,7000,1000,70000,30000
43,10,7000,1000,70000,30000
44,10,7000,1000,70000,30000
45,10,7000,1000,70000,30000
46,10,7000,1000,70000,30000
47,10,7000,1000,70000,30000
48,10,7000,1000,70000,30000
49,10,7000,1000,70000,30000
50,10,7000,1000,70000,30000
51,10,7000,1000,70000,30000
52,10,7000,1000,70000,30000
53,10,7000,1000,70000,30000
54,10,7000,1000,70000,30000
55,10,7000,1000,70000,30000
56,10,7000,1000,70000,30000
57,10,7000,1000,70000,30000
58,10,7000,1000,70000,30000
59,10,7000,1000,70000,30000
60,10,7000,1000,70000,30000
61,10,7000,1000,70000,30000
62,10,7000,1000,70000,30000
63,10,7000,1000,70000,30000
64,10,7000,1000,70000,30000
65,10,7000,1000,70000,30000
66,10,7000,1000,70000,30000
67,10,7000,1000,70000,30000
68,10,7000,1000,70000,30000
69,10,7000,1000,70000,30000
70,10,7000,1000,70000,30000
71,10,7000,1000,70000,30000
72,10,7000,1000,70000,30000
73,10,7000,1000,70000,30000
74,10,7000,1000,70000,30000
75,10,7000,1000,70000,30000
76,10,7000,1000,70000,30000
77,10,7000,1000,70000,30000
78,10,7000,1000,70000,30000
79,10,7000,1000,70000,30000
80,10,7000,1000,70000,30000
81,10,7000,1000,70000,30000
82,10,7000,1000,70000,30000
83,10,7000,1000,70000,30000
84,10,7000,1000,70000,30000
85,10,7000,1000,70000,30000
86,10,7000,1000,70000,30000
87,10,7000,1000,70000,30000
88,10,7000,1000,70000,30000
89,10,7000,1000,70000,30000
90,10,7000,1000,70000,30000
91,10,7000,1000,70000,30000
92,10,7000,1000,70000,30000
93,10,7000,1000,70000,30000
94,10,7000,1000,70000,30000
95,10,7000,1000,70000,30000
96,11,6965.982,983.1374,70090.67,29985.04
97,11,6965.982,983.1374,70090.67,29985.04
98,11,6965.982,983.1374,70090.67,29985.04
99,11,6965.982,983.1374,70090.67,29985.04
100,11,6965.982,983.1374,70090.67,29985.04
101,11,6965.982,983.1374,70090.67,29985.04
102,11,6965.982,983.1374,70090.67,29985.04
103,11,6965.982,983.1374,70090.67,29985.04
104,11,6965.982,983.1374,70090.67,29985.04
105,11,6965.982,983.1374,70090.67,29985.04
106,11,6965.982,983.1374,70090.67,29985.04
107,11,6965.982,983.1374,70090.67,29985.04
108,11,6965.982,983.1374,70090.67,29985.04
109,11,6965.982,983.1374,70090.67,29985.04
110,11,6965.982,983.1374,70090.67,29985.04
111,11,6965.982,983.1374,70090.67,29985.04
112,11,6965.982,983.1374,70090.67,29985.04
113,11,6965.982,983.1374,70090.67,29985.04
114,11,6965.982,983.1374,70090.67,29985.04
115,11,6965.982,983.1374,70090.67,29985.04
116,11,6965.982,983.1374,70090.67,29985.04
117,11,6965.982,983.1374,70090.67,29985.04
118,11,6965.982,983.1374,70090.67,29985.04
119,11,6965.982,983.1374,70090.67,29985.04
120,11,6965.982,983.1374,70090.67,29985.04
121,11,6965.982,983.1374,70090.67,29985.04
122,11,6965.982,983.1374,70090.67,29985.04
123,11,6965.982,983.1374,70090.67,29985.04
124,11,6965.982,983.1374,70090.67,29985.04
125,11,6965.982,983.1374,70090.67,29985.04
126,11,6965.982,983.1374,70090.67,29985.04
127,11,6965.982,983.1374,70090.67,29985.04
128,11,6965.982,983.1374,70090.67,29985.04
129,11,6965.982,983.1374,70090.67,29985.04
130,11,6965.982,983.1374,70090.67,29985.04
131,11,6965.982,983.1374,70090.67,29985.04
132,11,6965.982,983.1374,70090.67,29985.04
133,11,6965.982,983.1374,70090.67,29985.04
134,11,6965.982,983.1374,70090.67,29985.04
135,11,6965.982,983.1374,70090.67,29985.04
136,11,6965.982,983.1374,70090.67,29985.04
137,11,6965.982,983.1374,70090.67,29985.04
