Time,Number of Animals,Average sense radius, Average speed,Average reproduction threshold,Average passed energy
135,12,6914.095,1074.378,69847.82,30213.67
136,12,6914.095,1074.378,69847.82,30213.67
137,12,6914.095,1074.378,69847.82,30213.67
138,12,6914.095,1074.378,69847.82,30213.67
139,12,6914.095,1074.378,69847.82,30213.67
140,12,6914.095,1074.378,69847.82,30213.67
141,12,6914.095,1074.378,69847.82,30213.67
142,12,6914.095,1074.378,69847.82,30213.67
143,12,6914.095,1074.378,69847.82,30213.67
144,12,6914.095,1074.378,69847.82,30213.67
145,12,6914.095,1074.378,69847.82,30213.67
146,12,6914.095,1074.378,69847.82,30213.67
147,12,6914.095,1074.378,69847.82,30213.67
148,12,6914.095,1074.378,69847.82,30213.67
149,12,6914.095,1074.378,69847.82,30213.67
150,12,6914.095,1074.378,69847.82,30213.67
151,12,6914.095,1074.378,69847.82,30213.67
152,12,6914.095,1074.378,69847.82,30213.67
153,12,6914.095,1074.378,69847.82,30213.67
154,12,6914.095,1074.378,69847.82,30213.67
155,12,6914.095,1074.378,69847.82,30213.67
156,12,6914.095,1074.378,69847.82,30213.67
157,12,6914.095,1074.378,69847.82,30213.67
158,12,6914.095,1074.378,69847.82,30213.67
159,12,6914.095,1074.378,69847.82,30213.67
160,12,6914.095,1074.378,69847.82,30213.67
161,12,6914.095,1074.378,69847.82,30213.67
162,12,6914.095,1074.378,69847.82,30213.67
163,12,6914.095,1074.378,69847.82,30213.67
164,12,6914.095,1074.378,69847.82,30213.67
165,12,6914.095,1074.378,69847.82,30213.67
166,12,6914.095,1074.378,69847.82,30213.67
167,12,6914.095,1074.378,69847.82,30213.67
168,12,6914.095,1074.378,69847.82,30213.67
169,12,6914.095,1074.378,69847.82,30213.67
170,12,6914.095,1074.378,69847.82,30213.67
171,12,6914.095,1074.378,69847.82,30213.67
172,12,6914.095,1074.378,69847.82,30213.67
173,12,6914.095,1074.378,69847.82,30213.67
174,12,6914.095,1074.378,69847.82,30213.67
175,12,6914.095,1074.378,69847.82,30213.67
176,12,6914.095,1074.378,69847.82,30213.67
177,12,6914.095,1074.378,69847.82,30213.67
178,12,6914.095,1074.378,69847.82,30213.67
179,12,6914.095,1074.378,69847.82,30213.67
180,12,6914.095,1074.378,69847.82,30213.67
181,12,6914.095,1074.378,69847.82,30213.67
182,12,6914.095,1074.378,69847.82,30213.67
183,12,6914.095,1074.378,69847.82,30213.67
184,12,6914.095,1074.378,69847.82,30213.67
185,12,6914.095,1074.378,69847.82,30213.67
186,12,6914.095,1074.378,69847.82,30213.67
187,12,6914.095,1074.378,69847.82,30213.67
188,12,6914.095,1074.378,69847.82,30213.67
189,12,6914.095,1074.378,69847.82,30213.67
190,12,6914.095,1074.378,69847.82,30213.67
191,12,6914.095,1074.378,69847.82,30213.67
192,12,6914.095,1074.378,69847.82,30213.67
193,12,6914.095,1074.378,69847.82,30213.67
194,12,6914.095,1074.378,69847.82,30213.67
195,12,6914.095,1074.378,69847.82,30213.67
196,12,6914.095,1074.378,69847.82,30213.67
197,12,6914.095,1074.378,69847.82,30213.67
198,12,6914.095,1074.378,69847.82,30213.67
199,12,6914.095,1074.378,69847.82,30213.67
200,12,6914.095,1074.378,69847.82,30213.67
201,12,6914.095,1074.378,69847.82,30213.67
202,12,6914.095,1074.378,69847.82,30213.67
203,12,6914.095,1074.378,69847.82,30213.67
204,12,6914.095,1074.378,69847.82,30213.67
205,12,6914.095,1074.378,69847.82,30213.67
206,12,6914.095,1074.378,69847.82,30213.67
207,12,6914.095,1074.378,69847.82,30213.67
208,12,6914.095,1074.378,69847.82,30213.67
209,12,6914.095,1074.378,69847.82,30213.67
210,11,6933.983,1074.734,69866.22,30154.69
211,11,6933.983,1074.734,69866.22,30154.69
212,11,6933.983,1074.734,69866.22,30154.69
213,11,6933.983,1074.734,69866.22,30154.69
214,11,6933.983,1074.734,69866.22,30154.69
215,11,6933.983,1074.734,69866.22,30154.69
216,11,6933.983,1074.734,69866.22,30154.69
217,11,6933.983,1074.734,69866.22,30154.69
218,11,6933.983,1074.734,69866.22,30154.69
219,11,6933.983,1074.734,69866.22,30154.69
220,11,6933.983,1074.734,69866.22,30154.69
221,11,6933.983,1074.734,69866.22,30154.69
222,11,6933.983,1074.734,69866.22,30154.69
223,11,6933.983,1074.734,69866.22,30154.69
