Time,Number of Animals,Average sense radius, Average speed,Average reproduction threshold,Average passed energy
130,9,7000,1000,70000,30000
131,9,7000,1000,70000,30000
132,9,7000,1000,70000,30000
133,9,7000,1000,70000,30000
134,9,7000,1000,70000,30000
135,9,7000,1000,70000,30000
136,9,7000,1000,70000,30000
137,9,7000,1000,70000,30000
138,9,7000,1000,70000,30000
139,9,7000,1000,70000,30000
140,9,7000,1000,70000,30000
141,9,7000,1000,70000,30000
142,9,7000,1000,70000,30000
143,9,7000,1000,70000,30000
144,9,7000,1000,70000,30000
145,9,7000,1000,70000,30000
146,9,7000,1000,70000,30000
147,9,7000,1000,70000,30000
148,9,7000,1000,70000,30000
149,9,7000,1000,70000,30000
150,9,7000,1000,70000,30000
151,9,7000,1000,70000,30000
152,9,7000,1000,70000,30000
153,9,7000,1000,70000,30000
154,9,7000,1000,70000,30000
155,9,7000,1000,70000,30000
156,9,7000,1000,70000,30000
157,9,7000,1000,70000,30000
158,9,7000,1000,70000,30000
159,9,7000,1000,70000,30000
160,9,7000,1000,70000,30000
161,9,7000,1000,70000,30000
162,9,7000,1000,70000,30000
163,9,7000,1000,70000,30000
164,9,7000,1000,70000,30000
165,9,7000,1000,70000,30000
166,9,7000,1000,70000,30000
167,9,7000,1000,70000,30000
168,9,7000,1000,70000,30000
169,9,7000,1000,70000,30000
170,9,7000,1000,70000,30000
171,9,7000,1000,70000,30000
172,9,7000,1000,70000,30000
173,9,7000,1000,70000,30000
174,9,7000,1000,70000,30000
175,9,7000,1000,70000,30000
176,9,7000,1000,70000,30000
177,9,7000,1000,70000,30000
178,9,7000,1000,70000,30000
179,10,7114.9,986.726,70103.36,29966.24
180,10,7114.9,986.726,70103.36,29966.24
181,10,7114.9,986.726,70103.36,29966.24
182,10,7114.9,986.726,70103.36,29966.24
183,10,7114.9,986.726,70103.36,29966.24
184,10,7114.9,986.726,70103.36,29966.24
185,10,7114.9,986.726,70103.36,29966.24
