Time,Number of Animals,Average sense radius, Average speed,Average reproduction threshold,Average passed energy
1,10,7000,1000,70000,30000
2,10,7000,1000,70000,30000
3,10,7000,1000,70000,30000
4,10,7000,1000,70000,30000
5,10,7000,1000,70000,30000
6,10,7000,1000,70000,30000
7,10,7000,1000,70000,30000
8,10,7000,1000,70000,30000
9,10,7000,1000,70000,30000
10,10,7000,1000,70000,30000
11,10,7000,1000,70000,30000
12,10,7000,1000,70000,30000
13,10,7000,1000,70000,30000
14,10,7000,1000,70000,30000
15,10,7000,1000,70000,30000
16,10,7000,1000,70000,30000
17,10,7000,1000,70000,30000
18,10,7000,1000,70000,30000
19,11,7011.098,958.0585,70011.33,29957.69
20,11,7011.098,958.0585,70011.33,29957.69
21,11,7011.098,958.0585,70011.33,29957.69
22,11,7011.098,958.0585,70011.33,29957.69
23,11,7011.098,958.0585,70011.33,29957.69
24,11,7011.098,958.0585,70011.33,29957.69
25,11,7011.098,958.0585,70011.33,29957.69
26,11,7011.098,958.0585,70011.33,29957.69
27,11,7011.098,958.0585,70011.33,29957.69
28,11,7011.098,958.0585,70011.33,29957.69
29,11,7011.098,958.0585,70011.33,29957.69
30,11,7011.098,958.0585,70011.33,29957.69
31,11,7011.098,958.0585,70011.33,29957.69
32,11,7011.098,958.0585,70011.33,29957.69
33,11,7011.098,958.0585,70011.33,29957.69
34,11,7011.098,958.0585,70011.33,29957.69
35,11,7011.098,958.0585,70011.33,29957.69
36,11,7011.098,958.0585,70011.33,29957.69
37,11,7011.098,958.0585,70011.33,29957.69
38,11,7011.098,958.0585,70011.33,29957.69
39,11,7011.098,958.0585,70011.33,29957.69
40,11,7011.098,958.0585,70011.33,29957.69
41,11,7011.098,958.0585,70011.33,29957.69
42,11,7011.098,958.0585,70011.33,29957.69
43,11,7011.098,958.0585,70011.33,29957.69
44,11,7011.098,958.0585,70011.33,29957.69
45,11,7011.098,958.0585,70011.33,29957.69
46,11,7011.098,958.0585,70011.33,29957.69
47,11,7011.098,958.0585,70011.33,29957.69
48,11,7011.098,958.0585,70011.33,29957.69
49,11,7011.098,958.0585,70011.33,29957.69
50,11,7011.098,958.0585,70011.33,29957.69
51,11,7011.098,958.0585,70011.33,29957.69
52,11,7011.098,958.0585,70011.33,29957.69
53,11,7011.098,958.0585,70011.33,29957.69
54,11,7011.098,958.0585,70011.33,29957.69
55,11,7011.098,958.0585,70011.33,29957.69
56,11,7011.098,958.0585,70011.33,29957.69
57,11,7011.098,958.0585,70011.33,29957.69
58,11,7011.098,958.0585,70011.33,29957.69
59,11,7011.098,958.0585,70011.33,29957.69
60,11,7011.098,958.0585,70011.33,29957.69
61,11,7011.098,958.0585,70011.33,29957.69
62,11,7011.098,958.0585,70011.33,29957.69
63,11,7011.098,958.0585,70011.33,29957.69
64,11,7011.098,958.0585,70011.33,29957.69
65,11,7011.098,958.0585,70011.33,29957.69
66,11,7011.098,958.0585,70011.33,29957.69
67,11,7011.098,958.0585,70011.33,29957.69
68,11,7011.098,958.0585,70011.33,29957.69
69,11,7011.098,958.0585,70011.33,29957.69
70,11,7011.098,958.0585,70011.33,29957.69
71,11,7011.098,958.0585,70011.33,29957.69
72,11,7011.098,958.0585,70011.33,29957.69
73,11,7011.098,958.0585,70011.33,29957.69
74,11,7011.098,958.0585,70011.33,29957.69
75,11,7011.098,958.0585,70011.33,29957.69
76,11,7011.098,958.0585,70011.33,29957.69
77,11,7011.098,958.0585,70011.33,29957.69
78,11,7011.098,958.0585,70011.33,29957.69
79,11,7011.098,958.0585,70011.33,29957.69
80,10,7012.208,953.8644,70012.47,29953.46
81,10,7012.208,953.8644,70012.47,29953.46
82,10,7012.208,953.8644,70012.47,29953.46
83,10,7012.208,953.8644,70012.47,29953.46
84,10,7012.208,953.8644,70012.47,29953.46
85,10,7012.208,953.8644,70012.47,29953.46
86,10,7012.208,953.8644,70012.47,29953.46
87,10,7012.208,953.8644,70012.47,29953.46
88,10,7012.208,953.8644,70012.47,29953.46
89,10,7012.208,953.8644,70012.47,29953.46
90,10,7012.208,953.8644,70012.47,29953.46
91,10,7012.208,953.8644,70012.47,29953.46
92,10,7012.208,953.8644,70012.47,29953.46
93,10,7012.208,953.8644,70012.47,29953.46
94,10,7012.208,953.8644,70012.47,29953.46
95,10,7012.208,953.8644,70012.47,29953.46
96,10,7012.208,953.8644,70012.47,29953.46
97,10,7012.208,953.8644,70012.47,29953.46
98,10,7012.208,953.8644,70012.47,29953.46
99,10,7012.208,953.8644,70012.47,29953.46
100,10,7012.208,953.8644,70012.47,29953.46
101,10,7012.208,953.8644,70012.47,29953.46
102,10,7012.208,953.8644,70012.47,29953.46
103,10,7012.208,953.8644,70012.47,29953.46
104,10,7012.208,953.8644,70012.47,29953.46
105,10,7012.208,953.8644,70012.47,29953.46
106,10,7012.208,953.8644,70012.47,29953.46
107,10,7012.208,953.8644,70012.47,29953.46
108,10,7012.208,953.8644,70012.47,29953.46
109,10,7012.208,953.8644,70012.47,29953.46
110,10,7012.208,953.8644,70012.47,29953.46
111,10,7012.208,953.8644,70012.47,29953.46
112,10,7012.208,953.8644,70012.47,29953.46
