Time,Number of Animals,Average sense radius, Average speed,Average reproduction threshold,Average passed energy
131,14,7004.278,956.3701,69705.45,29922.61
132,14,7004.278,956.3701,69705.45,29922.61
133,14,7004.278,956.3701,69705.45,29922.61
134,14,7004.278,956.3701,69705.45,29922.61
135,14,7004.278,956.3701,69705.45,29922.61
136,14,7004.278,956.3701,69705.45,29922.61
137,14,7004.278,956.3701,69705.45,29922.61
138,14,7004.278,956.3701,69705.45,29922.61
139,14,7004.278,956.3701,69705.45,29922.61
140,14,7004.278,956.3701,69705.45,29922.61
141,14,7004.278,956.3701,69705.45,29922.61
142,14,7004.278,956.3701,69705.45,29922.61
143,14,7004.278,956.3701,69705.45,29922.61
144,14,7004.278,956.3701,69705.45,29922.61
145,13,7004.607,953.014,69682.79,29916.66
146,13,7004.607,953.014,69682.79,29916.66
147,13,7004.607,953.014,69682.79,29916.66
148,12,7018.656,999.1329,69678.91,29915.75
149,13,7059.329,1024.892,69635.42,29991.54
150,13,7059.329,1024.892,69635.42,29991.54
151,13,7059.329,1024.892,69635.42,29991.54
152,13,7059.329,1024.892,69635.42,29991.54
153,13,7059.329,1024.892,69635.42,29991.54
154,13,7059.329,1024.892,69635.42,29991.54
155,13,7059.329,1024.892,69635.42,29991.54
156,13,7059.329,1024.892,69635.42,29991.54
157,13,7059.329,1024.892,69635.42,29991.54
158,13,7059.329,1024.892,69635.42,29991.54
159,12,7064.273,1026.966,69605.04,29990.84
160,12,7064.273,1026.966,69605.04,29990.84
161,12,7064.273,1026.966,69605.04,29990.84
162,12,7064.273,1026.966,69605.04,29990.84
163,12,7064.273,1026.966,69605.04,29990.84
164,12,7064.273,1026.966,69605.04,29990.84
165,12,7064.273,1026.966,69605.04,29990.84
166,12,7064.273,1026.966,69605.04,29990.84
167,12,7064.273,1026.966,69605.04,29990.84
168,12,7064.273,1026.966,69605.04,29990.84
169,12,7064.273,1026.966,69605.04,29990.84
170,12,7064.273,1026.966,69605.04,29990.84
171,12,7064.273,1026.966,69605.04,29990.84
172,12,7064.273,1026.966,69605.04,29990.84
173,12,7064.273,1026.966,69605.04,29990.84
174,12,7064.273,1026.966,69605.04,29990.84
175,12,7064.273,1026.966,69605.04,29990.84
176,12,7064.273,1026.966,69605.04,29990.84
177,12,7064.273,1026.966,69605.04,29990.84
178,12,7064.273,1026.966,69605.04,29990.84
179,12,7064.273,1026.966,69605.04,29990.84
180,12,7064.273,1026.966,69605.04,29990.84
181,12,7064.273,1026.966,69605.04,29990.84
182,12,7064.273,1026.966,69605.04,29990.84
183,12,7064.273,1026.966,69605.04,29990.84
184,12,7064.273,1026.966,69605.04,29990.84
185,12,7064.273,1026.966,69605.04,29990.84
186,12,7064.273,1026.966,69605.04,29990.84
187,12,7064.273,1026.966,69605.04,29990.84
188,12,7064.273,1026.966,69605.04,29990.84
189,12,7064.273,1026.966,69605.04,29990.84
190,12,7064.273,1026.966,69605.04,29990.84
191,12,7064.273,1026.966,69605.04,29990.84
192,12,7064.273,1026.966,69605.04,29990.84
193,12,7064.273,1026.966,69605.04,29990.84
194,12,7064.273,1026.966,69605.04,29990.84
195,12,7064.273,1026.966,69605.04,29990.84
196,12,7064.273,1026.966,69605.04,29990.84
197,12,7064.273,1026.966,69605.04,29990.84
198,12,7064.273,1026.966,69605.04,29990.84
199,13,7038.928,1032.625,69664.95,30089.21
200,13,7038.928,1032.625,69664.95,30089.21
201,13,7038.928,1032.625,69664.95,30089.21
202,13,7038.928,1032.625,69664.95,30089.21
203,13,7038.928,1032.625,69664.95,30089.21
204,13,7038.928,1032.625,69664.95,30089.21
205,13,7038.928,1032.625,69664.95,30089.21
206,14,7024.616,1008.994,69663.47,30038.73
207,14,7024.616,1008.994,69663.47,30038.73
208,15,6997.974,1001.83,69579.09,30157.42
209,15,6997.974,1001.83,69579.09,30157.42
210,14,6958.729,978.1039,69612.34,30104.31
211,14,6958.729,978.1039,69612.34,30104.31
212,14,6958.729,978.1039,69612.34,30104.31
213,14,6958.729,978.1039,69612.34,30104.31
214,14,6958.729,978.1039,69612.34,30104.31
215,14,6958.729,978.1039,69612.34,30104.31
216,14,6958.729,978.1039,69612.34,30104.31
217,15,6951.939,993.6418,69584.05,30049.43
218,15,6951.939,993.6418,69584.05,30049.43
219,15,6951.939,993.6418,69584.05,30049.43
220,15,6951.939,993.6418,69584.05,30049.43
221,15,6951.939,993.6418,69584.05,30049.43
222,15,6951.939,993.6418,69584.05,30049.43
223,15,6951.939,993.6418,69584.05,30049.43
224,15,6951.939,993.6418,69584.05,30049.43
225,15,6951.939,993.6418,69584.05,30049.43
226,15,6951.939,993.6418,69584.05,30049.43
227,15,6951.939,993.6418,69584.05,30049.43
228,15,6951.939,993.6418,69584.05,30049.43
229,16,6923.879,956.0958,69617.62,30142.59
230,16,6923.879,956.0958,69617.62,30142.59
231,16,6923.879,956.0958,69617.62,30142.59
232,16,6923.879,956.0958,69617.62,30142.59
233,16,6923.879,956.0958,69617.62,30142.59
234,16,6923.879,956.0958,69617.62,30142.59
235,16,6923.879,956.0958,69617.62,30142.59
236,16,6923.879,956.0958,69617.62,30142.59
237,16,6923.879,956.0958,69617.62,30142.59
238,16,6923.879,956.0958,69617.62,30142.59
239,16,6923.879,956.0958,69617.62,30142.59
240,15,6918.805,953.1688,69592.13,30152.1
241,15,6918.805,953.1688,69592.13,30152.1
242,15,6918.805,953.1688,69592.13,30152.1
243,15,6918.805,953.1688,69592.13,30152.1
244,15,6918.805,953.1688,69592.13,30152.1
245,15,6918.805,953.1688,69592.13,30152.1
246,14,6941.597,945.8735,69656.94,30249.63
247,14,6941.597,945.8735,69656.94,30249.63
248,14,6941.597,945.8735,69656.94,30249.63
249,14,6941.597,945.8735,69656.94,30249.63
250,14,6941.597,945.8735,69656.94,30249.63
251,14,6941.597,945.8735,69656.94,30249.63
252,14,6941.597,945.8735,69656.94,30249.63
253,14,6941.597,945.8735,69656.94,30249.63
254,14,6941.597,945.8735,69656.94,30249.63
255,14,6941.597,945.8735,69656.94,30249.63
256,14,6941.597,945.8735,69656.94,30249.63
257,14,6941.597,945.8735,69656.94,30249.63
258,14,6941.597,945.8735,69656.94,30249.63
259,14,6941.597,945.8735,69656.94,30249.63
260,14,6941.597,945.8735,69656.94,30249.63
261,14,6941.597,945.8735,69656.94,30249.63
262,14,6941.597,945.8735,69656.94,30249.63
263,14,6941.597,945.8735,69656.94,30249.63
264,14,6941.597,945.8735,69656.94,30249.63
265,13,6949.522,964.649,69657.91,30316.33
266,13,6949.522,964.649,69657.91,30316.33
267,13,6949.522,964.649,69657.91,30316.33
268,13,6949.522,964.649,69657.91,30316.33
269,13,6949.522,964.649,69657.91,30316.33
270,13,6949.522,964.649,69657.91,30316.33
271,13,6949.522,964.649,69657.91,30316.33
272,13,6949.522,964.649,69657.91,30316.33
273,13,6949.522,964.649,69657.91,30316.33
274,14,6935.714,977.0856,69438,30198.83
275,14,6935.714,977.0856,69438,30198.83
276,14,6935.714,977.0856,69438,30198.83
277,14,6935.714,977.0856,69438,30198.83
278,14,6935.714,977.0856,69438,30198.83
279,14,6935.714,977.0856,69438,30198.83
280,14,6935.714,977.0856,69438,30198.83
281,14,6935.714,977.0856,69438,30198.83
282,14,6935.714,977.0856,69438,30198.83
283,14,6935.714,977.0856,69438,30198.83
284,14,6935.714,977.0856,69438,30198.83
285,14,6935.714,977.0856,69438,30198.83
286,14,6935.714,977.0856,69438,30198.83
