Time,Number of Animals,Average sense radius, Average speed,Average reproduction threshold,Average passed energy
1,10,7000,1000,70000,30000
2,10,7000,1000,70000,30000
3,10,7000,1000,70000,30000
4,10,7000,1000,70000,30000
5,10,7000,1000,70000,30000
6,10,7000,1000,70000,30000
7,10,7000,1000,70000,30000
8,10,7000,1000,70000,30000
9,10,7000,1000,70000,30000
10,10,7000,1000,70000,30000
11,10,7000,1000,70000,30000
12,10,7000,1000,70000,30000
13,10,7000,1000,70000,30000
14,10,7000,1000,70000,30000
15,10,7000,1000,70000,30000
16,10,7000,1000,70000,30000
17,10,7000,1000,70000,30000
18,10,7000,1000,70000,30000
19,11,6921.543,1009.158,70023.02,30029.12
20,11,6921.543,1009.158,70023.02,30029.12
21,11,6921.543,1009.158,70023.02,30029.12
22,11,6921.543,1009.158,70023.02,30029.12
23,11,6921.543,1009.158,70023.02,30029.12
24,11,6921.543,1009.158,70023.02,30029.12
25,11,6921.543,1009.158,70023.02,30029.12
26,11,6921.543,1009.158,70023.02,30029.12
27,11,6921.543,1009.158,70023.02,30029.12
28,12,6934.759,993.7653,70066.57,30028.14
29,12,6934.759,993.7653,70066.57,30028.14
30,12,6934.759,993.7653,70066.57,30028.14
31,12,6934.759,993.7653,70066.57,30028.14
32,12,6934.759,993.7653,70066.57,30028.14
33,12,6934.759,993.7653,70066.57,30028.14
34,12,6934.759,993.7653,70066.57,30028.14
35,12,6934.759,993.7653,70066.57,30028.14
36,11,6928.827,993.1984,70072.63,30030.7
37,11,6928.827,993.1984,70072.63,30030.7
38,11,6928.827,993.1984,70072.63,30030.7
39,11,6928.827,993.1984,70072.63,30030.7
40,11,6928.827,993.1984,70072.63,30030.7
41,11,6928.827,993.1984,70072.63,30030.7
42,11,6928.827,993.1984,70072.63,30030.7
43,11,6928.827,993.1984,70072.63,30030.7
44,11,6928.827,993.1984,70072.63,30030.7
45,11,6929.744,1005.964,70108.88,29897.2
46,11,6929.744,1005.964,70108.88,29897.2
47,11,6929.744,1005.964,70108.88,29897.2
48,11,6929.744,1005.964,70108.88,29897.2
49,11,6929.744,1005.964,70108.88,29897.2
50,10,6914.706,1024.116,70065.2,29885.18
51,10,6914.706,1024.116,70065.2,29885.18
52,10,6914.706,1024.116,70065.2,29885.18
53,9,6905.229,1026.795,70072.44,29872.43
54,10,6879.767,1044.114,70160.97,29716.29
55,10,6879.767,1044.114,70160.97,29716.29
56,10,6879.767,1044.114,70160.97,29716.29
57,10,6879.767,1044.114,70160.97,29716.29
58,10,6879.767,1044.114,70160.97,29716.29
59,10,6879.767,1044.114,70160.97,29716.29
60,10,6879.767,1044.114,70160.97,29716.29
61,10,6879.767,1044.114,70160.97,29716.29
62,10,6879.767,1044.114,70160.97,29716.29
63,10,6879.767,1044.114,70160.97,29716.29
64,10,6879.767,1044.114,70160.97,29716.29
65,10,6879.767,1044.114,70160.97,29716.29
66,10,6879.767,1044.114,70160.97,29716.29
67,10,6879.767,1044.114,70160.97,29716.29
68,10,6879.767,1044.114,70160.97,29716.29
69,10,6879.767,1044.114,70160.97,29716.29
70,10,6879.767,1044.114,70160.97,29716.29
71,10,6879.767,1044.114,70160.97,29716.29
72,10,6879.767,1044.114,70160.97,29716.29
73,10,6879.767,1044.114,70160.97,29716.29
74,10,6879.767,1044.114,70160.97,29716.29
75,10,6879.767,1044.114,70160.97,29716.29
76,10,6879.767,1044.114,70160.97,29716.29
77,10,6879.767,1044.114,70160.97,29716.29
78,10,6879.767,1044.114,70160.97,29716.29
79,10,6879.767,1044.114,70160.97,29716.29
80,11,6962.461,1046.888,70244.95,29616.3
81,11,6962.461,1046.888,70244.95,29616.3
82,11,6962.461,1046.888,70244.95,29616.3
83,11,6962.461,1046.888,70244.95,29616.3
84,11,6962.461,1046.888,70244.95,29616.3
85,11,6962.461,1046.888,70244.95,29616.3
86,10,6958.708,1051.576,70269.45,29577.93
87,10,6958.708,1051.576,70269.45,29577.93
88,10,6958.708,1051.576,70269.45,29577.93
89,10,6958.708,1051.576,70269.45,29577.93
90,10,6958.708,1051.576,70269.45,29577.93
91,10,6958.708,1051.576,70269.45,29577.93
92,10,6958.708,1051.576,70269.45,29577.93
93,10,6958.708,1051.576,70269.45,29577.93
94,10,6958.708,1051.576,70269.45,29577.93
95,10,6958.708,1051.576,70269.45,29577.93
96,10,6958.708,1051.576,70269.45,29577.93
97,10,6958.708,1051.576,70269.45,29577.93
98,10,6958.708,1051.576,70269.45,29577.93
99,10,6958.708,1051.576,70269.45,29577.93
100,10,6958.708,1051.576,70269.45,29577.93
101,10,6958.708,1051.576,70269.45,29577.93
102,10,6958.708,1051.576,70269.45,29577.93
103,10,6958.708,1051.576,70269.45,29577.93
104,10,6958.708,1051.576,70269.45,29577.93
105,10,6958.708,1051.576,70269.45,29577.93
106,10,6958.708,1051.576,70269.45,29577.93
107,10,6958.708,1051.576,70269.45,29577.93
108,10,6958.708,1051.576,70269.45,29577.93
109,10,6958.708,1051.576,70269.45,29577.93
110,10,6958.708,1051.576,70269.45,29577.93
111,10,6958.708,1051.576,70269.45,29577.93
112,10,6958.708,1051.576,70269.45,29577.93
